"target_end_date","location","value","target_variable","model"
1997-11-16,"nat",2.44749391690924,"inc wili","observed data"
1997-11-23,"hhs1",1.22796672800045,"inc wili","observed data"
1997-11-23,"hhs10",1.17212830239402,"inc wili","observed data"
1997-11-23,"hhs2",0.402649808431004,"inc wili","observed data"
1997-11-23,"hhs3",1.98578592145217,"inc wili","observed data"
1997-11-23,"hhs4",1.05024392762618,"inc wili","observed data"
1997-11-23,"hhs5",2.03414822980436,"inc wili","observed data"
1997-11-23,"hhs6",3.85026086755334,"inc wili","observed data"
1997-11-23,"hhs7",0.6677471950195,"inc wili","observed data"
1997-11-23,"hhs8",0.773457665947082,"inc wili","observed data"
1997-11-23,"hhs9",2.36076648380126,"inc wili","observed data"
1997-11-23,"nat",1.73900869334521,"inc wili","observed data"
1997-11-30,"hhs1",1.71588323735423,"inc wili","observed data"
1997-11-30,"hhs10",1.03085961778704,"inc wili","observed data"
1997-11-30,"hhs2",1.71911478493237,"inc wili","observed data"
1997-11-30,"hhs3",1.77506311539593,"inc wili","observed data"
1997-11-30,"hhs4",1.22195076554189,"inc wili","observed data"
1997-11-30,"hhs5",1.34182460687521,"inc wili","observed data"
1997-11-30,"hhs6",3.36630878775825,"inc wili","observed data"
1997-11-30,"hhs7",0.699620366279541,"inc wili","observed data"
1997-11-30,"hhs8",7.44790175646459,"inc wili","observed data"
1997-11-30,"hhs9",2.28603922868514,"inc wili","observed data"
1997-11-30,"nat",1.93918764917391,"inc wili","observed data"
1997-12-07,"hhs1",1.23052577909948,"inc wili","observed data"
1997-12-07,"hhs10",1.17532439044483,"inc wili","observed data"
1997-12-07,"hhs2",1.81569201989639,"inc wili","observed data"
1997-12-07,"hhs3",2.1202090441233,"inc wili","observed data"
1997-12-07,"hhs4",2.51906384820033,"inc wili","observed data"
1997-12-07,"hhs5",1.76053638757579,"inc wili","observed data"
1997-12-07,"hhs6",3.19315839307897,"inc wili","observed data"
1997-12-07,"hhs7",1.60936141680303,"inc wili","observed data"
1997-12-07,"hhs8",1.4053729522594,"inc wili","observed data"
1997-12-07,"hhs9",3.47037003116234,"inc wili","observed data"
1997-12-07,"nat",2.28166200841743,"inc wili","observed data"
1997-12-14,"hhs1",1.22154457777879,"inc wili","observed data"
